Row;Arabidopsis thaliana;Brachypodium distachyon;Musa acuminata;Oryza sativa;Phoenix dactylifera;Sorghum bicolor
18672;1;0;0;0;0;0
19938;0;0;0;1;0;0
5151;0;0;0;1;0;1
4284;1;1;1;1;1;1
18578;1;0;0;0;0;0
2415;1;1;1;1;1;1
10701;1;0;0;0;0;0
16254;0;1;0;1;0;1
4310;0;1;1;1;1;1
5213;1;1;1;1;1;1
20691;0;0;0;0;1;0
11228;1;1;0;1;0;1
8420;1;1;1;1;1;1
22771;0;0;0;1;0;1
5389;1;1;1;1;1;1
12075;1;1;1;1;0;1
22104;0;1;0;1;0;0
11180;1;1;0;1;1;1
13848;1;1;0;1;0;1
10436;0;0;0;1;0;1
21394;0;0;1;1;0;0
1773;1;1;1;1;1;1
1619;1;1;1;1;0;1
943;1;1;1;1;1;1
6841;1;1;1;1;1;1
8281;1;1;1;1;1;1
14228;0;0;1;0;0;0
13601;0;1;1;1;0;1
14894;0;1;1;0;0;0
18953;0;0;0;0;0;1
12029;0;1;1;1;1;1
12515;0;1;0;1;0;1
13239;0;0;0;1;0;1
15529;0;1;0;1;0;1
22902;0;0;0;1;1;0
19683;0;1;0;0;0;0
21000;0;0;0;1;0;0
5474;0;0;1;0;0;0
8543;1;1;1;1;1;1
20425;1;0;0;0;0;0
11038;0;1;0;1;0;1
10410;1;1;1;1;1;1
20164;0;0;0;1;0;0
10873;0;0;0;1;0;1
6531;0;1;0;1;1;1
21030;0;0;0;1;0;0
10928;0;1;0;1;0;1
10904;0;1;0;1;1;1
7510;1;1;0;1;0;1
21190;0;0;0;1;0;1
22048;0;1;0;0;0;1
8268;1;1;1;1;1;1
14444;1;0;0;0;0;0
22670;0;0;0;1;0;1
14743;0;0;0;0;1;0
20977;0;0;0;1;0;0
21446;0;0;1;0;1;0
3241;1;1;1;1;1;1
12871;0;1;0;1;0;1
8804;1;1;1;1;1;1
729;1;1;1;1;1;1
3859;1;1;1;1;1;1
16682;0;1;0;1;0;1
18849;1;0;0;0;0;0
17135;0;1;0;1;0;1
17823;0;0;0;1;0;0
17876;0;0;1;0;0;0
722;1;1;1;1;1;1
11367;1;1;0;1;1;1
15066;0;0;0;1;0;0
4913;1;1;1;1;1;1
12128;1;1;1;1;0;1
12692;1;0;0;0;0;0
7026;1;1;1;1;1;1
5309;1;1;1;1;1;1
18248;0;0;1;0;0;0
6894;1;1;1;1;1;1
19649;0;1;0;0;0;0
4757;1;1;1;1;1;1
5890;1;1;1;1;0;1
18535;1;0;0;0;0;0
15719;0;1;0;1;0;1
17737;0;0;0;1;0;0
19284;0;0;0;0;0;1
7401;0;0;1;0;1;0
22470;0;1;0;1;0;0
12198;1;1;1;1;0;1
7346;1;1;1;1;0;1
12637;1;0;1;0;1;0
13121;0;1;0;1;0;1
20831;0;0;0;1;0;0
